,30,60,120,240
16,510.7036492588,2084.0548263296,2416.7883470404,11446.4434069929
16,638.8657021491,2805.76465684,3498.921406724,10293.5476983892
32,943.8605602964,1457.6126723184,5012.4538641047,10436.634153076
32,3321.0308344037,2214.9871100839,7719.5593424371,12499.8290404532
64,5615.6680095498,16280.3303349352,3422.8602227623,
64,7396.679791983,15649.1981324733,6042.7723813712,
