,30,60,120,240
16,856.8224073709,263.5169847369,266.5629720091,1242.7509199744
16,1839.4560296642,345.7318925825,720.2665040319,1854.6701117496
32,196.645860215,29.8518001914,6860.6560377111,8843.8708681903
32,212.1603095781,14.837639468,11917.7823721934,15651.382047156
64,28.2097097492,3867.8407669438,3678.4967548284,23.3178113699
64,8.8795682339,11532.9566859435,8453.1623435403,13.3431094825
