,30,60,120,240
16,44.1321881655,37.8157410622,46.7708312392,92.3225447059
16,41.1046979533,4.4936472843,36.7322618265,130.6020531807
32,164.0005081939,1260.7705262428,101.2476685698,71.8609047571
32,110.944819975,4530.8829071368,191.4425758851,142.8460338765
64,79.9844172954,43.1169569015,112.3945124387,129.5428944431
64,156.9245771681,7.4811134763,137.8291897533,19.7634807404
128,207.6193955802,738.4451874451,99.5644684673,1142.6210365786
128,80.196093854,1014.6981754395,184.6849700499,3092.7281985429
