,30,60,120,240
16,28.1398411214,31.0345392227,31.1733262777,309.2979887128
16,10.2547420913,9.7151268815,7.4391119833,1248.9402154603
32,26.8094901244,31.586694026,382.7118266387,1021.4399787423
32,9.4061547898,8.3597801919,1095.4453994544,1980.0678164246
64,44.2384764385,72.158034792,353.8872105448,392.8743999481
64,50.2726642268,208.9166774333,1152.2875434927,1359.4753968189
128,38.4686909676,46.557361412,56.8643347877,
128,4.9637157448,5.5027149152,18.6875553344,
